CBG,x,y,color,TOWN,COUNTY,Bos_Neighborhood
250250511012,-2.4597368,-6.2437096,#662506,Boston,Suffolk,East Boston
250173681021,4.7616467,0.34311152,#fdb462,Waltham,Middlesex,
250173549002,3.5207648,-2.2040768,#fdb462,Cambridge,Middlesex,
250250806012,11.689522,0.49206984,#662506,Boston,Suffolk,Roxbury
250173231003,1.7553184,3.1864212,#fdb462,,,
250092060002,-4.4324336,-3.0607867,#386cb0,Lynn,Essex,
250251706014,-2.20124,-5.492016,#662506,Revere,Suffolk,
250173872012,5.8685503,4.0039344,#fdb462,,,
250214003002,8.830349,-0.72224134,#7fc97f,,,
250173111002,-1.3642695,2.5606647,#fdb462,Lowell,Middlesex,
250173155001,-1.8866948,1.1901314,#fdb462,,,
250235308012,12.976034,10.980955,#ef3b2c,,,
250173333001,-1.5213649,-0.56169516,#fdb462,Woburn,Middlesex,
250235116004,15.150468,8.631215,#ef3b2c,Brockton,Plymouth,
250173632011,1.2538091,3.028169,#fdb462,,,
250092610002,-5.454695,9.189041,#386cb0,Haverhill,Essex,
250173119001,-1.5844073,2.2985375,#fdb462,Lowell,Middlesex,
250214061011,8.205551,4.951317,#7fc97f,,,
250173501041,2.733244,-3.8403807,#fdb462,Somerville,Middlesex,
250092174002,-6.9220886,-1.0830584,#386cb0,Beverly,Essex,
250173586004,-0.15047473,0.029710509,#fdb462,,,
250092662002,-3.7995555,9.475646,#386cb0,Amesbury,Essex,
250251010023,11.483286,2.3264797,#662506,Boston,Suffolk,Mattapan
250173261011,0.5387168,3.4148293,#fdb462,,,
250214134022,9.292537,4.4090667,#7fc97f,,,
250092042003,-6.280049,-2.0141091,#386cb0,Salem,Essex,
250251706011,-2.2902267,-5.475389,#662506,Revere,Suffolk,
250173584004,-0.30807084,0.10398166,#fdb462,Waltham,Middlesex,
250250813002,11.491249,0.7979058,#662506,Boston,Suffolk,Roxbury
250173745002,5.909808,0.3115996,#fdb462,Newton,Middlesex,
250250107023,11.636795,-1.2378922,#662506,Boston,Suffolk,Back Bay
