taxonomy,barrier_visit_size,barrier_visit_portion,non_barrier_visit_size,non_barrier_visit_portion,aca_size,barrier_visits_relative_difference,area,area_code
Shopping,26049,0.150357581949471,179083,0.1472300690262984,205132,0.02124235180935732,San Francisco,41860
Transportation,18908,0.10913897498946591,130005,0.10688141880448687,148913,0.02112206415512392,San Francisco,41860
Automotive Service,10943,0.06316415291462478,76659,0.06302390434316495,87602,0.0022253234375353894,San Francisco,41860
Arts / Museum,690,0.003982752948102997,4944,0.004064626241832107,5634,-0.020142883713757213,San Francisco,41860
Grocery,10654,0.06149601436099904,76705,0.06306172246758329,87359,-0.02482818491659663,San Francisco,41860
Personal Care Service,11651,0.06725080376572178,85586,0.07036308687974166,97237,-0.04423175917991094,San Francisco,41860
School,673,0.0038846271508308945,5064,0.004163282218575605,5737,-0.06693158261081016,San Francisco,41860
Sports,9173,0.05294752578688231,69235,0.056920387915300553,78408,-0.0697968210323864,San Francisco,41860
Health,1043,0.006020306267929603,8083,0.006645302166814103,9126,-0.09405078703654128,San Francisco,41860
Entertainment,5064,0.02922994337564287,39461,0.032442195818959706,44525,-0.09901464319007496,San Francisco,41860
Agriculture,5,2.886052860944201e-05,39,3.206319244163677e-05,44,-0.09988599351185724,San Francisco,41860
Neighborhood Service,2388,0.013783788463869504,19020,0.015636972313844394,21408,-0.1185129584410756,San Francisco,41860
Public Administration,3187,0.018395700935658336,25440,0.020915067069621523,28627,-0.12045699521673954,San Francisco,41860
Office,5729,0.03306839368069866,48620,0.03997211324390717,54349,-0.17271339949135223,San Francisco,41860
Industry,2773,0.01600604916679654,23687,0.019473867676026928,26460,-0.17807548900516587,San Francisco,41860
City / Outdoors,2722,0.01571167177498023,23606,0.019407274891725064,26328,-0.1904235982312271,San Francisco,41860
College,2091,0.012069473064468648,21844,0.017958676299874708,23935,-0.3279308083217217,San Francisco,41860
Transportation,31979,0.12584113142506356,175826,0.09469546821546443,207805,0.32890341846910925,Washington,47900
Office,14563,0.057307120202107646,92463,0.04979824984704473,107026,0.15078582838004156,Washington,47900
City / Outdoors,3512,0.013820133636599743,22747,0.012250962971899317,26259,0.128085495670807,Washington,47900
Service,6531,0.025700254208608463,43276,0.02330736684274475,49807,0.10266656812880541,Washington,47900
Coffee / Tea,9458,0.037218343945034274,63593,0.03424959283738485,73051,0.0866798949040033,Washington,47900
Food,54828,0.21575463753630147,384690,0.20718437357277655,439518,0.04136539747537712,Washington,47900
School,1154,0.0045411259158986625,8159,0.004394232509241945,9313,0.033428683245088034,Washington,47900
Sports,12955,0.05097945081496289,95927,0.05166387325824881,108882,-0.013247602243539531,Washington,47900
Personal Care Service,17911,0.07048189452310308,133833,0.07207909295371703,151744,-0.022158969614663966,Washington,47900
Arts / Museum,1117,0.004395526558109884,8385,0.0045159504338759295,9502,-0.02666634134482483,Washington,47900
Financial Service,11554,0.04546635080787968,89153,0.04801556696855584,100707,-0.05309145182739539,Washington,47900
Shopping,36902,0.14521371624652726,291677,0.15708990753746327,328579,-0.07560123675102257,Washington,47900
Grocery,11320,0.044545533247810104,91979,0.04953757960136841,103299,-0.10077291611196137,Washington,47900
Industry,5308,0.02088760516602262,43718,0.023545416943135108,49026,-0.11288021713658372,Washington,47900
Public Administration,7825,0.03079229661343764,65309,0.035173787344782714,73134,-0.12456693072021356,Washington,47900
College,4325,0.017019384390174797,36799,0.019819017294716797,41124,-0.14125992539944476,Washington,47900
Neighborhood Service,3534,0.013906706227717395,30188,0.01625849871172887,33722,-0.1446500396936953,Washington,47900
Entertainment,5944,0.023390340072878383,51803,0.02789979491068274,57747,-0.16163039378033928,Washington,47900
Automotive Service,11950,0.04702465744799742,112175,0.060414638034589435,124125,-0.22163470678953326,Washington,47900
Health,1446,0.005690180307096592,14924,0.008037691624945066,16370,-0.2920628741917576,Washington,47900
Agriculture,6,2.3610706668450586e-05,128,6.893758563340716e-05,134,-0.6575060404057893,Washington,47900
Transportation,38845,0.1388119597339899,416291,0.10247276585217559,455136,0.3546229437608452,Chicago,16980
School,617,0.0022048392111178212,7102,0.0017482039801056258,7719,0.2612024890737325,Chicago,16980
Arts / Museum,1129,0.004034462673179935,13066,0.0032162817803520283,14195,0.254387192635328,Chicago,16980
Service,7488,0.02675824313265842,89205,0.021958397077629168,96693,0.21858818009622621,Chicago,16980
City / Outdoors,5492,0.019625570417275646,72911,0.017947521880242366,78403,0.0934975061309478,Chicago,16980
Office,12033,0.04299972484178403,164066,0.040385924274853505,176099,0.06472058307101859,Chicago,16980
Grocery,15609,0.055778501209624104,217436,0.05352330056579088,233045,0.04213493226302678,Chicago,16980
